NAME	CITY	STATE	WEBSITE	STATUS	NOTE
CFC Wireforms, Inc.	Batavia	IL		EXCLUDE	Closed: complete plant and equipment liquidation auction at 1000 Douglas Rd in Nov 2024; cfcwireforms.com now returns "Account Suspended"
Continental Spring Specialty Co., Inc.	Elk Grove Village	IL		NOSITE	1461 Lunt Ave Ste A, 847-437-8565; no company website found
R.F. Mell Spring & Manufacturing Co.	Chicago	IL		EXCLUDE	Appears closed: Chicago business license lapsed in 2006 and 2815 W Roscoe St is now a property-management office
Zaco Mfg. Co., Inc.	Bensenville	IL		NOSITE	Springs, wire forms and assemblies at 803 Eagle Dr; former zaco.com is now listed for sale by a domain broker
Linale Manufacturing, Inc.	Omaha	NE	https://linale.com	OK	Spring maker since 1980; multi-leaf springs including the hot rod market
Minuteman Spring Company, Inc.	Millbury	MA	https://minutemansprings.com	OK	Name and location corrected: Monarch Spring & Mfg of Shrewsbury now operates as Minuteman Spring Company in Millbury; monarchspring.com redirects here
Hawthorne Spring Co.	Hawthorne	NJ		NOSITE	Operates as Vibra Con Associates Inc. dba Hawthorne Spring, 280 9th Ave; active CAGE record for light gauge spring manufacturing; hawthornespring.com does not resolve
Commerce Spring Corp.	Farmingdale	NY		NOSITE	Active New York corporation at 143 Allen Blvd with current staff; commercespring.com is now offered for sale by a domain broker
R-WIREworks, Inc.	Elmira	NY	https://www.shoprwireworks.com	OK	Custom wire fabricator specializing in display racks and retail store fixtures; rwireworks.com redirects to this domain
Whiting Spring & Wire Corp	Akron	NY		NOSITE	Small wire spring shop (SIC 3495) at 13550 Bloomingdale Rd, 585-542-2604; no website and no independent confirmation of current operation
