NAME	CITY	STATE	WEBSITE	DESCRIPTION	CAPABILITIES	SOURCE_URL
Garrett Spring Co	Apple Valley	CA		Manufactures carbon steel and alloy compression, clutch and custom springs.	Springs; Compression springs; Coil springs	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=California-CA
Warren Spring & Mfg Co	Los Angeles	CA		Manufactures automotive and leaf springs.	Springs; Coil springs	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=California-CA
Action Coil Spring Co	Mesa	AZ		Coil spring manufacturer working in wire.	Springs; Coil springs; Compression springs	https://www.industrycat.com/47/81000547647.html
Abbey Springs and Wire Forms Co	Belleville	NJ		Manufactures springs and wire forms.	Springs; Wire forms	https://www.industrycat.com/47/81000547647.html
A-1 Quality Spring	Fraser	MI		Spring manufacturer.	Springs; Compression springs	https://www.industrycat.com/16/21000645816.html
4 Sure Wire Products	Rock Creek	OH		Manufactures wire products.	Wire forms	https://www.industrycat.com/16/21000645816.html
The Spring Works	Columbus	OH	https://www.thespringworks.com	Manufactures custom springs and wire forms for over 30 years.	Springs; Compression springs; Extension springs; Torsion springs; Wire forms	https://www.thespringworks.com/
Regal Springs Company	Columbus	OH	https://www.regal-springs.com	Manufactures compression, extension, torsion and flat springs plus paint racks.	Springs; Compression springs; Extension springs; Torsion springs; Wire forms	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Ohio-OH
B & F Metal Products	Cleveland	OH		Manufactures metal stampings, flat springs, spring clips and fourslide parts.	Stampings; Springs; Fourslide; Multi-slide; Wire forms	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Ohio-OH
B&P Spring Production	Cleveland	OH		Manufactures precision springs, counterbalances and wire forms.	Springs; Wire forms; Compression springs	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Ohio-OH
Tadd Spring Company	Strongsville	OH		Manufactures automotive, disc and belleville springs.	Springs; Spring washers; Coil springs	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Ohio-OH
Shank Spring Design	Piqua	OH		Manufactures compression springs.	Springs; Compression springs	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Ohio-OH
Golden Spring Co	Sugarcreek Township	OH		Manufactures compression and conical springs, spring clips and stampings.	Springs; Compression springs; Stampings; Coil springs	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Ohio-OH
MCM Industries	Cleveland	OH		Manufactures springs, filter cages and wire and strip steel forms.	Springs; Wire forms; Flat forms; Assemblies	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Ohio-OH
H S Spring of Kentucky	Jefferson	OH		Manufactures springs and mechanical metal assemblies.	Springs; Assemblies; Welded assemblies	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Ohio-OH
Timac Spring Manufacturing, Inc.	Xenia	OH		Manufactures coil springs, belleville disc springs and spring clips.	Springs; Coil springs; Spring washers	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Ohio-OH
Gifford Spring Co	Garland	TX		Manufactures coil, conical, extension and flat springs.	Springs; Coil springs; Extension springs; Compression springs	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Texas-TX
Engineered Spring Products	Houston	TX		Manufactures compression, double torsion and disc springs.	Springs; Compression springs; Torsion springs; Spring washers	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Texas-TX
Spring Halco & Stamping	Henderson	TX		Manufactures springs, custom clips and metal stampings.	Springs; Stampings; Wire forms	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Texas-TX
Clover Wire Forming Company	Yonkers	NY	https://cloverwireforming.com	Wire forming and fourslide metal stamping manufacturer founded 1957.	Wire forms; Stampings; Fourslide; Powder coating; Welded assemblies	https://linkedin.com/company/clover-wire-forming-co-inc
Rome Specialty Company	Rome	NY	https://www.roscotackle.com	Makes terminal tackle rings, snaps and custom wire forms since 1926.	Wire forms; Rings; Assemblies	https://www.roscotackle.com/specialty/
Die-Matic Products	Plainview	NY	https://www.diematicproducts.com	Precision stamper that also makes pilot and deceleration springs.	Stampings; Springs; Assemblies	https://www.diematicproducts.com/
Kehr-Buffalo Wire Frame Co	Grand Island	NY		Manufactures springs and wire frames up to 150 feet long.	Springs; Wire forms; Extension springs; Torsion springs	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=New%20York-NY
Disc and Belleville	Niagara Falls	NY		Manufactures disc, belleville, conical and flat springs.	Springs; Spring washers; Coil springs	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=New%20York-NY
Acme Stamping & Wire Forming Co	Pittsburgh	PA	https://www.acmestamping.com	Stamper and wire former running multi-slide, fourslide and benders.	Wire forms; Stampings; Fourslide; Multi-slide; Machining	https://www.acmestamping.com/precision-wire-forming.html
Vodvarka Springs	Clinton	PA	https://vodvarkasprings.com	Produces springs and wire forms in stainless, Inconel and music wire.	Springs; Compression springs; Torsion springs; Wire forms; Rings	https://vodvarkasprings.com/
Bond Spring Corporation	Corry	PA		Manufactures precision mechanical springs.	Springs; Compression springs	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Pennsylvania-PA
Royersford Spring Co	Royersford	PA		Manufactures custom and machined springs and furniture parts.	Springs; Compression springs; Machining	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Pennsylvania-PA
Tricor Industries	King of Prussia	PA		Manufactures coil, die and helical springs.	Springs; Coil springs; Compression springs	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Pennsylvania-PA
Automatic Specialties	Marlborough	MA	https://www.automaticspecialties.com	Wire forming and fabricating shop running over 90 machines.	Wire forms; CNC wire forming; Machining; Welded assemblies; Assemblies	https://www.automaticspecialties.com/
Precision Products Group	Muskegon	MI		Manufactures retaining rings, coiled springs and spring assemblies.	Springs; Rings; Assemblies; Coil springs	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Michigan-MI
M D Hubbard Spring Co	Oxford	MI		Manufactures springs and fabricated assemblies including aircraft parts.	Springs; Assemblies; Compression springs	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Michigan-MI
ANL Spring Manufacturing Co	Detroit	MI		Manufactures springs, cold headed wire parts and cable assemblies.	Springs; Wire forms; Assemblies	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Michigan-MI
Dowsett Spring Co	Dowagiac	MI		Manufactures automotive, die, disc and cold formed springs.	Springs; Spring washers; Compression springs; Coil springs	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Michigan-MI
Eaton Detroit Spring	Detroit	MI		Manufactures leaf and coil springs for automotive applications.	Springs; Coil springs	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Michigan-MI
McGuire Spring Corporation	Brighton	MI		Manufactures automotive, clutch, compression and disc springs.	Springs; Compression springs; Coil springs; Spring washers	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Michigan-MI
Hyde Spring & Wire Co	Detroit	MI		Manufactures compression, extension, torsion and die springs.	Springs; Compression springs; Extension springs; Torsion springs	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Michigan-MI
Technical Products	Muskegon	MI		Manufactures spring clips, pipe clips and custom formed clips.	Springs; Wire forms; Stampings	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Michigan-MI
R C Coil Spring Manufacturing Co	Glendale Heights	IL		Manufactures coil springs, custom clips and metal stampings.	Springs; Coil springs; Stampings; Wire forms	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Illinois-IL
Wireformers	Mount Prospect	IL		Fourslide and metal forming shop making flat springs and stampings.	Fourslide; Flat forms; Springs; Stampings; Wire forms	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Illinois-IL
Alco Spring Industries	Chicago Heights	IL		Manufactures coil springs and wound coils.	Springs; Coil springs; Compression springs	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Illinois-IL
All American Spring & Stamping	Franklin Park	IL		Manufactures wire springs and metal stampings.	Springs; Wire forms; Stampings; Assemblies	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Illinois-IL
Available Spring & Mfg Co	Wheeling	IL		Manufactures wire and flat springs, spring rings and stampings.	Springs; Flat forms; Rings; Stampings	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Illinois-IL
CFC Wire Forms	Batavia	IL		Manufactures wire springs, pail handles and metal stampings.	Wire forms; Springs; Stampings	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Illinois-IL
Continental Spring Specialties	Elk Grove Village	IL		Manufactures wire springs and antenna components.	Springs; Wire forms; Compression springs	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Illinois-IL
Mell R F Spring & Mfg Co	Chicago	IL		Wire forming shop making springs, wire forms and filter cages.	Springs; Wire forms; CNC wire forming	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Illinois-IL
Zaco Mfg. Co., Inc.	Bensenville	IL		Manufactures precision springs and grooved pins.	Springs; Compression springs; Fasteners	https://www.macraesbluebook.com/search/product_company_list.cfm?prod_code=7236900&region=Illinois-IL
