NAME	CITY	STATE	WEBSITE	DESCRIPTION	CAPABILITIES	SOURCE_URL
Rich Industries, Inc.	Bensenville	IL	https://www.richindustries.com	Makes springs, wire forms and metal stampings on CNC formers and punch presses.	Springs; Wire forms; Stampings; Fourslide; CNC wire forming	https://www.expotracshows.com/spring-world/2018/
All-Rite Industries	Lake Zurich	IL	https://www.allriteindustries.com	Job shop doing CNC wire forming, fourslide and punch press stamping and assembly.	CNC wire forming; Fourslide; Stampings; Assemblies	https://www.thomasnet.com/company/all-rite-industries-705011/profile
A J Kay Company	Chicago	IL	https://www.ajkayco.com	Makes coil, flat and torsion springs plus wire forms and wire rings.	Springs; Wire forms; Rings; Torsion springs; Flat forms	https://wirenet.org/listings/a-j-kay-co/
Aero Spring & Manufacturing Co., Inc.	Phoenix	AZ	http://www.aerospringmfg.com	Spring manufacturer and metal fabricator making springs, wire forms and machined parts.	Compression springs; Torsion springs; Wire forms; Rings; Machining	https://wirenet.org/listings/aero-spring-mfg-co-inc/
Allied Spring & Mfg Co., Inc.	Elk Grove Village	IL		Produces coil and torsion springs for industrial and mechanical applications.	Coil springs; Torsion springs; Springs	https://wirenet.org/listings/allied-spring-mfg-co-inc/
Archer Wire International Corp.	Bedford Park	IL	https://archerwire.com	Wire and steel fabricator making racks, guards, grills and wire assemblies.	Wire forms; Welded assemblies; Assemblies; Powder coating	https://wirenet.org/listings/archer-wire-international-corp/
Arcon Ring & Specialty Corp.	Carol Stream	IL	https://www.arconring.com	Manufactures wire rings, garter and torsion springs, and wire forms.	Rings; Wire forms; Torsion springs; Fasteners	https://wirenet.org/listings/arcon-ring-specialty-corp/
Art Wire Works, Inc.	Bedford Park	IL	https://www.artwireworks.com	Custom wire fabricator producing wire forms, rings, racks and baskets.	Wire forms; Rings; Welded assemblies; Assemblies	https://wirenet.org/listings/art-wire-works-inc/
Astoria Wire & Metal Products	Bedford Park	IL	http://www.astoriawire.com	Designs and manufactures custom wire and fabricated metal products since 1947.	Wire forms; Welded assemblies; Assemblies	https://wirenet.org/listings/astoria-wire-metal-products/
Automatic Specialties, Inc.	Marlboro	MA	https://www.automaticspecialties.com	Fabricates wire forms, racks, guards and straightened and cut wire.	Wire forms; Welded assemblies; Wire straightening; Wire cutting	https://wirenet.org/listings/automatic-specialties-inc/
Baumann Springs USA Inc.	Grand Prairie	TX	https://www.baumann-group.com	Manufactures springs, wire forms and metal stampings including medical components.	Springs; Wire forms; Stampings; Medical wire; Assemblies	https://wirenet.org/listings/baumann-springs-usa-inc/
Brainin Advance Industries	Attleboro	MA		Produces wire forms, rivets and stamped metal components.	Wire forms; Stampings; Fasteners	https://wirenet.org/listings/brainin-advance-industries/
Breasco LLC	Ypsilanti	MI	https://www.breasco.com	Manufactures custom wire forms for automotive applications.	Wire forms; CNC wire forming	https://wirenet.org/listings/breasco-llc/
Burkhardt Manufacturing	South San Francisco	CA		Makes wire forms, handles, hooks and racks from steel wire.	Wire forms; Wire straightening; Wire cutting	https://wirenet.org/listings/burkhardt-mfg/
Car-Anth Manufacturing, Inc.	St. Louis	MO	https://car-anth.com	Wire forming shop making wire forms, handles and racks for over 75 years.	Wire forms; Welded assemblies; Assemblies	https://wirefabricators.org/members/car-anth-manufacturing-inc/
CFC Wireforms	Batavia	IL	https://www.cfcwireforms.com	Manufactures wire forms with robotic MIG welding for automotive customers.	Wire forms; Welded assemblies	https://wirenet.org/listings/cfc/
Davon Manufacturing Co., Inc.	Hudsonville	MI	https://www.davonmfg.com	Four-slide shop producing flat springs, wire forms and stampings.	Fourslide; Flat forms; Wire forms; Stampings	https://wirenet.org/listings/davon-manufacturing-co-inc/
Dodco Inc.	Milwaukee	WI		Fabricates wire forms, baskets, racks and guards from steel wire.	Wire forms; Welded assemblies; Wire straightening	https://wirenet.org/listings/dodco-inc/
E.H. Baare Corporation	Robinson	IL	https://www.ehbaare.com	Wire fabricator making racks, guards, rings and welded wire products.	Wire forms; Welded assemblies; Rings	https://wirenet.org/listings/e-h-baare-corp/
Engdahl Manufacturing Inc.	York	PA		Manufactures wire forms and flat springs.	Wire forms; Flat forms	https://wirenet.org/listings/engdahl-mfg-inc/
G3 Industries, Inc.	Mosinee	WI	https://www.g3industries.com	Produces wire forms, wire fasteners, hinge pins and straightened and cut wire.	Wire forms; Fasteners; Wire straightening; Wire cutting	https://wirenet.org/listings/g3-industries-inc/
General Chain & Mfg Corp.	Cincinnati	OH	https://www.generalchain.com	Makes wire forms, bails, hooks and wire fasteners.	Wire forms; Fasteners; Wire straightening	https://wirenet.org/listings/general-chain-mfg-corp/
Hiatt Metal Forming LLC	Winona	MN	https://www.hiattmetalform.com	Wire forming shop producing wire forms, shelving and straightened and cut wire.	Wire forms; Wire straightening; Wire cutting	https://wirenet.org/listings/hiatt-metal-forming-llc/
Industrial Wire Products	Sullivan	MO	https://www.indwire.com	Fabricates wire forms, baskets, racks, guards and welded wire products.	Wire forms; Welded assemblies; Powder coating	https://wirenet.org/listings/industrial-wire-products/
Jackburn Mfg, Inc.	Girard	PA	https://www.jackburn.com	Manufactures wire forms, bails, handles, hinge pins and wire rings.	Wire forms; Rings; Wire straightening; Wire cutting	https://wirenet.org/listings/jackburn-mfg-inc/
K & S Wire Products, Inc.	Neosho	MO	https://www.kandswire.com	Wire forming and welding shop with in-house powder coating.	Wire forms; Welded assemblies; Powder coating	https://wirefabricators.org/members/ks-wire-products/
Kaspar Wire Works, Inc.	Shiner	TX	https://www.kasparwireworks.com	Manufactures wire baskets, racks, cages, guards and welded wire products.	Wire forms; Welded assemblies; Powder coating	https://wirenet.org/listings/kaspar-wire-works-inc/
Lafayette Wire Products, Inc.	Lafayette	IN	https://lafayettewire.com	Produces industrial and commercial wire shelving, racks and wire forms.	Wire forms; Welded assemblies	https://wirefabricators.org/members/lafayette-wire-products-inc/
Lakeside Spring LLC	Muskegon	MI	https://www.lakesidespring.com	Slide-forming shop making flat springs, wire forms and stampings on fourslides.	Fourslide; Flat forms; Wire forms; Stampings	https://wirenet.org/listings/lakeside-spring-products/
Merchandising Systems Mfg, Inc.	Union City	CA	https://www.wireline.net	CNC wire forming shop making wire forms, hooks, racks and shelving.	CNC wire forming; Wire forms; Welded assemblies	https://wirenet.org/listings/merchandising-systems-mfg-inc/
Merrill Manufacturing Corp.	Merrill	WI	https://www.merrill-mfg.com	CNC wire forming shop producing custom wire forms.	CNC wire forming; Wire forms	https://wirenet.org/listings/merrill-manufacturing-corp/
Mustang Wire Products, Inc.	Mustang	OK		Manufactures custom wire forms.	Wire forms	https://wirenet.org/listings/mustang-wire-products-inc/
New England Wire Products, Inc.	Leominster	MA	https://www.displayracks.com	Manufactures wire display racks, rod storage and custom wire forms.	Wire forms; Welded assemblies	https://wirenet.org/listings/new-england-wire-products-inc/
Pacific Wire Products, Inc.	North Hollywood	CA	https://www.pacificwire.com	CNC wire forming shop making wire forms, baskets, cages and welded mesh.	CNC wire forming; Wire forms; Welded assemblies	https://wirenet.org/listings/pacific-wire-products-inc-2/
Precision Wire Engineering Co.	Chattanooga	TN		Wire forming shop making handles, hooks, mats and wire racks.	Wire forms; Welded assemblies	https://wirenet.org/listings/precision-wire-engineering-co/
Quality Wire Forming	Leola	PA		Produces wire forms, hooks, hoops and straightened and cut wire.	Wire forms; Wire straightening; Wire cutting	https://wirenet.org/listings/quality-wire-forming/
RFC Wire Forms, Inc.	Ontario	CA	https://www.rfcwireforms.com	Manufactures wire forms, shaped wire, shelving and straightened and cut wire.	Wire forms; Wire straightening; Wire cutting	https://wirenet.org/listings/rfc-wire-forms-inc/
Royersford Spring Co.	Royersford	PA	https://www.royersfordspring.com	Manufactures coil springs, formed wire and wire seat assemblies.	Coil springs; Wire forms; Assemblies; Wire straightening	https://wirenet.org/listings/royersford-spring-co/
Solar Spring & Wire Forms	Elk Grove Village	IL	https://www.solarspring.com	Precision wire forming, spring manufacturing and light stamping for automotive.	CNC wire forming; Extension springs; Torsion springs; Stampings; Welded assemblies	https://wirenet.org/listings/solar-spring-co-dba-solar-spring-wire-forms/
Stevens Wire Products, Inc.	Richmond	IN	https://www.stevenswire.com	Fabricates wire forms, baskets, racks, guards and welded wire mesh.	Wire forms; Welded assemblies; Powder coating	https://wirenet.org/listings/stevens-wire-products-inc/
Swanson Wire Works Industries	Mesquite	TX	https://www.swansonwireworks.com	Manufactures wire racks, hooks, hoops, mats and shelving.	Wire forms; Welded assemblies	https://wirenet.org/listings/swanson-wire-works-industries/
Toledo Wire Products, Inc.	Toledo	OH	https://www.toledowire.com	Makes wire forms, baskets, handles, hooks, racks and wire rings.	Wire forms; Rings; Wire straightening; Wire cutting	https://wirenet.org/listings/toledo-wire-products-inc/
Trion Industries, Inc.	Wilkes-Barre	PA	https://www.triononline.com	Runs automated wire forming machines, welding and assembly in-house.	CNC wire forming; Wire forms; Assemblies; Welded assemblies	https://wirenet.org/listings/trion-industries-inc/
Volk Enterprises, Inc.	Turlock	CA	https://www.volkenterprises.com	Four-slide and wire forming shop making clamps, closures and wire forms.	Fourslide; Wire forms; Wire straightening; Wire cutting	https://wirenet.org/listings/volk-enterprises-inc/
Worth Manufacturing Co.	Stevens Point	WI	https://www.worthco.com	Manufactures wire rings, wire fasteners and straightened and cut wire.	Rings; Fasteners; Wire straightening; Wire cutting	https://wirenet.org/listings/worth-mfg-co/
ALBAform, Inc.	Auburn	GA	https://www.albaform.com	Forms shaped wire reinforcements, rods and hooks for automotive seating.	Wire forms; Welded assemblies; Assemblies	https://wirenet.org/listings/albaform-inc/
American Appliance Products, Inc.	Newport	TN	https://www.aappliance.com	Fabricates wire forms, racks, shelving, mats and welded wire mesh.	Wire forms; Welded assemblies; Wire straightening	https://wirenet.org/listings/american-appliance-products-inc/
Acme Wire Products LLC	Broadview	IL	https://www.acmewirepro.com	Manufactures barbecue grids, baskets, guards, racks, shelving and wire forms.	Wire forms; Welded assemblies	https://wirenet.org/listings/acme-wire-products-llc/
Sussex Wire, Inc.	Easton	PA	https://www.sussexwire.com	Cold-heads custom pins in miniature and micro geometries from wire.	Fasteners; Machining; Prototyping; Medical wire	https://wirenet.org/listings/sussex-wire-inc/
ERA Wire Inc.	West Haven	CT	https://erawire.com	Wire straightening and cutting service that also produces formed wire parts.	Wire straightening; Wire cutting; Wire forms	https://wirefabricators.org/members/era-wire-inc/
Ever-Roll Specialties Co.	Springfield	OH	https://ever-roll.com	Fabricates metal tubing and wire components for equipment and furniture.	Tube bending; Wire forms; Welded assemblies	https://wirefabricators.org/members/ever-roll-specialties-co/
K&J Wire Products Corp.	Anaheim	CA	http://www.kjwire.com	Cuts, bends, welds and assembles custom wire products.	Wire forms; Welded assemblies; Wire cutting; Assemblies	https://wirefabricators.org/members/kj-wire-products-corp/
Mid-West Wire Specialties, Inc.	Chicago	IL	https://midwestwirechicago.com	Precision wire forming and sheet metal fabrication.	Wire forms; CNC wire forming; Welded assemblies	https://wirefabricators.org/members/mid-west-wire-specialties-inc/
Mid-West Metal Products Co.	Muncie	IN	https://midwestmetal.com	Produces wire-formed, sheet metal and tubular metal products.	Wire forms; Welded assemblies; Tube bending	https://wirefabricators.org/members/midwest-metal-products-co/
Panacea Products	Columbus	OH	https://www.panaceaproducts.com	Manufactures formed and welded wire garden and home products.	Wire forms; Welded assemblies; Powder coating	https://wirefabricators.org/members/panacea-products/
Pronto Products Co.		CA	https://www.prontoproducts.com	ISO certified manufacturer of formed wire and metal products.	Wire forms; Welded assemblies	https://wirefabricators.org/members/pronto-products-co/
Sterling Filter & Metal Products	Moscow	PA	https://www.sterlingfilter.com	Fabricates welded wire mesh cleaning and parts-washing baskets.	Welded assemblies; Wire forms	https://wirefabricators.org/members/sterling-filter-metal-products/
Wire-Bond	Charlotte	NC	https://www.wirebond.com	Manufactures welded wire joint reinforcement for masonry construction.	Wire forms; Welded assemblies	https://wirefabricators.org/members/wire-bond/
